complaint_id,text_description,issue_type,department,priority,latitude,longitude,status,created_time,created_date
COMP_00001,Road surface damaged at Koramangala,roads,BBMP Roads,Medium,12.94929315,77.61334023,In Progress,09:59:00,2065-12-07
COMP_00002,Transformer issue reported at Yelahanka,electricity,BESCOM,High,13.05010355,77.62689499,In Progress,00:15:26,2023-03-05
COMP_00003,Power outage in Jayanagar for 2 days,electricity,BESCOM,High,13.05668944,77.51277271,Pending,20:20:47,2028-09-25
COMP_00004,No water supply in Jayanagar since 3 days,water,BWSSB,High,12.89795049,77.65269974,In Progress,08:15:15,2027-07-02
COMP_00005,Broken water pipe flooding street at Koramangala,water,BWSSB,Critical,12.90875466,77.51494346,In Progress,18:00:57,2077-06-16
COMP_00006,Electric pole damaged near BTM Layout,electricity,BESCOM,High,13.02851174,77.55698729,Pending,07:10:49,2024-04-27
COMP_00007,Waste scattered on road at Whitefield,garbage,BBMP Sanitation,High,12.9265462,77.57432068,Pending,22:37:17,2050-10-11
COMP_00008,Waste scattered on road at Jayanagar,garbage,BBMP Sanitation,Medium,12.90461714,77.57305056,Pending,02:30:08,2037-10-05
COMP_00009,Illegal garbage dumping near Indiranagar,garbage,BBMP Sanitation,Medium,12.9375837,77.56807189,Pending,16:01:36,2037-01-10
COMP_00010,Electric pole damaged near Indiranagar,electricity,BESCOM,High,12.94843284,77.52987022,In Progress,10:51:53,2030-07-01
COMP_00011,Overflowing dustbin at Jayanagar,garbage,BBMP Sanitation,Medium,12.97260906,77.62596074,Pending,15:42:30,2026-11-28
COMP_00012,Power outage in MG Road for 8 days,electricity,BESCOM,High,12.98092661,77.65019473,Pending,15:51:28,2057-07-23
COMP_00013,Power outage in Jayanagar for 10 days,electricity,BESCOM,Critical,13.00709507,77.60033141,In Progress,03:24:49,2073-10-18
COMP_00014,Street lights not working at Jayanagar,electricity,BESCOM,High,12.98224066,77.69422528,Pending,22:31:38,2037-01-17
COMP_00015,Water contamination issue at MG Road,water,BWSSB,High,12.94614422,77.6903867,Pending,00:11:15,2091-02-19
COMP_00016,Transformer issue reported at Yelahanka,electricity,BESCOM,High,12.93348992,77.63044612,In Progress,18:55:37,2046-09-03
COMP_00017,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,High,13.03244964,77.54814828,Pending,21:34:31,2040-03-10
COMP_00018,Garbage not collected at Malleshwaram for 3 days,garbage,BBMP Sanitation,Medium,12.9824401,77.68405126,Pending,13:06:30,2033-03-04
COMP_00019,Street lights not working at Malleshwaram,electricity,BESCOM,High,12.93174717,77.52769058,In Progress,04:03:03,2026-02-09
COMP_00020,Waste scattered on road at MG Road,garbage,BBMP Sanitation,High,13.0045673,77.65806981,Pending,08:23:50,2049-01-29
COMP_00021,Illegal garbage dumping near Koramangala,garbage,BBMP Sanitation,High,12.98326842,77.51898669,In Progress,20:10:53,2037-01-26
COMP_00022,Overflowing dustbin at BTM Layout,garbage,BBMP Sanitation,Medium,13.06867891,77.64599952,In Progress,20:05:42,2072-01-18
COMP_00023,Electric pole damaged near Whitefield,electricity,BESCOM,Critical,12.87548936,77.60151898,In Progress,06:59:49,2101-09-02
COMP_00024,Transformer issue reported at Koramangala,electricity,BESCOM,Critical,12.88605814,77.51154869,In Progress,17:22:26,2056-07-09
COMP_00025,Broken water pipe flooding street at Whitefield,water,BWSSB,High,12.88637627,77.59309189,Pending,10:35:29,2089-05-03
COMP_00026,Garbage not collected at Yelahanka for 3 days,garbage,BBMP Sanitation,Medium,12.90479544,77.63244821,In Progress,21:35:48,2079-12-14
COMP_00027,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,Medium,12.97031544,77.62707775,In Progress,02:24:13,2061-01-13
COMP_00028,Garbage not collected at BTM Layout for 1 days,garbage,BBMP Sanitation,Medium,12.98406385,77.66191239,In Progress,20:36:05,2040-11-13
COMP_00029,Water contamination issue at Malleshwaram,water,BWSSB,High,13.04075184,77.66786402,In Progress,16:11:07,2049-12-13
COMP_00030,Broken water pipe flooding street at Koramangala,water,BWSSB,Critical,12.94836555,77.66595958,In Progress,11:02:59,2047-03-02
